,name,rating_star,price,price_before_discount,description
41,137 Degrees Walnut Milk with Matcha Green Tea 180 ml,4.933333,12500.0,25100.0,"Walnut Milk with Matcha Green Tea 180 ml

Tidak ditambahkan gula tebu dan kandungan kedelai. Bukan dari konsentrat, tidak ada pengawet yang ditambahkan. Cocok untuk vegetarian dan intoleransi laktosa.
Untuk rasa yang lebih baik, kocok rata dan sajikan dingin.

* Tidak mengandung gula tebu dan kedelai.
* Tidak berasal dari konsentrat, tanpa bahan pengawet.
* Cocok diminum oleh Vegan dan Intoleransi Laktosa.
* Untuk rasa lebih enak, kocok dahulu dan sajikan dingin.

Sweetened with coconut flower nectar
Vegan friendly 

BPOM ML 466609156625
Shelf Life: 6 bulan"
42,137 Degrees Pistachio Milk with Double Chocolate 180 ml,4.904762,20500.0,25100.0,"Pistachio Milk with Double Chocolate 180 ml

137 Degrees 1L Double Belgian Chocolate WITH Pistachio Milk
This is quite possibly the healthiest and one of the richest versions of chocolate milk. With loads of nutrients from pistachios delicately crafted with finest dark cocoa, thos drink will satisfy cravings without the added calories.

Cashew Blend
No dairy
Soy Free
Vegan
Gluten Free
Low Sodium

Ingredients
Fresh pistachio milk 60% (from whole pistachios), Cashew blend 36%, Cocoa (from Belgium) 2%, Orgaic coconut flower nectar 2%.

Cashew blend. No dairy. No soy content. Not from concentrate, no preservatives added. Suitable for vegans and lactose intolerant.

- After openingg, 137 degrees pistachio milk stays fresh in refrigerator for up to 7 days. Close lid tightly.
- Do not consume if packaging is damage, or if product is expired.
- Because we always use the freshest whole pistachio with skin, pistachio sediments or curds may appear and are a natural occurrence. This does not affect product quality and is safe for consumption.

For better taste, shake well and serve chilled.

Contains: Pistachio and Cashew. 

BPOM ML 466609162625
Shelf Life: 6 bulan"
43,137 Degrees Pistachio Milk with Double Chocolate 1L,4.577778,103300.0,118000.0,"This is quite possibly the healthiest and one of the richest versions of chocolate milk. With loads of nutrients from pistachios delicately crafted with finest dark cocoa, thos drink will satisfy cravings without the added calories. 

Cashew Blend 
No dairy 
Soy Free 
Vegan 
Gluten Free 
Low Sodium 

Ingredients 
Fresh pistachio milk 60% (from whole pistachios), Cashew blend 36%, Cocoa (from Belgium) 2%, Orgaic coconut flower nectar 2%. 

Cashew blend. No dairy. No soy content. Not from concentrate, no preservatives added. Suitable for vegans and lactose intolerant. 

BPOM ML 466609162625
Shelf Life: 6 bulan"
44,TTS Champignon Mushroom 425gr,4.921303,16800.0,21500.0,TTS Champignon Mushroom 425gr merupakan jamur utuh dalam larutan garam. Dibuat dari jamur-jamur pilihan sehingga menghasilkan produk yang berkualitas. Kemasan kalengnya membuat produk di dalamnya terjaga kualitasnya sehingga aman untuk dikonsumsi. bpom: ML 519909337054
45,Naraya Whole Mushroom 425gr,4.940828,14400.0,17900.0,Naraya Whole Mushroom 425 gr adalah jamur kancing kaleng persembahan Naraya dari jamur berkualitas yang dapat digunakan untuk berbagai masakan dan dapat disajikan dalam berbagai suasana. BPOM ML 519909102806 Shelf Life 54
46,TTS Pickled Lettuce 182gr,4.964361,9700.0,11500.0,TTS Pickled Lettuce 182gr merupakan acar sawi siap santap yang dapat juga diolah menjadi segala macam masakan. Terbuat dari sawi pilihan sehingga menghasilkan produk yang berkualitas. Kemasan kalengnya membuat acar di dalamnya tetap terjaga kualitas dan kebersihannya. bpom: ML 519909627054
47,Maya Tuna Spring Water 185gr,4.930693,17600.0,19600.0,"Maya Tuna Spring Water 185gr merupakan olahan ikan tuna dalam kaleng yang dibuat dari ikan tuna pilihan yang segar. Perpaduan dengan saus tomat dan bawang bombay memberikan cita rasa yang sangat menggugah selera. Ikan tuna yang kaya akan Omega-3 membuat olahan ini bernutrisi bagi tubuh. Diproduksi secara higienis, dikemas siap saji sehingga praktis untuk dimakan sehari-hari. BPOM MD 543913009464 Shelf Life 2 years"
48,Vinisi Chunk Light Tuna 160gr,4.932331,17900.0,18900.0,Vinisi Chunk Light Tuna 160gr merupakan potongan-potongan daging tuna dalam kaleng yang siap diolah menjadi segala macam masakan. Diolah dengan metode terkini dan dikemas dalam kaleng sehingga menghasilkan daging tuna yang higienis dan berkualitas tinggi. BPOM: MD 543902005049
49,Vinisi Corned Tuna 300gr,4.884615,17800.0,17900.0,"Vinisi Corned Tuna 300gr merupakan olahan daging tuna dalam kaleng yang siap untuk diolah menjadi segala macam masakan. Rasanya lezat dan khas, diolah dengan teknologi terkini sehingga menghasilkan daging tuna olahan yang berkualitas tinggi. MD 543902001049 . Shelf Life: 12 months"
50,Sun Bell Tuna Chunk In Vegetable Oil 185gr,4.91224,17300.0,19500.0,"Sun Bell Tuna Chunk In Vegetable Oil 185gr merupakan makanan kaleng hasil olahan laut yang terbuat dari ikan tuna pilihan dengan minyak sayur yang menjadi rasa gurih dan nikmat yang dikemas dengan praktis, higienis dan aman untuk dikonsumsi anda dan keluarga. BPOM Number : MD 543913001601"
