nama_produk,harga_normal,harga_diskon,gambar,deskripsi
Blus Arely Orange,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0142_480x480.jpg?v=1484127780,"
Detail Bahan Dan Ukuran 

Lingkar Dada :105
Panjang  Baju  : 65
Bahan : Jersey 

"
Blus Arely Pink,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1302__2_480x480.jpg?v=1484123258,"
etail Bahan Dan Ukuran 

Lingkar Dada :105
Panjang  Baju  : 65
Bahan : Jersey 

"
Blus Arely Toska,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1070-biru_480x480.jpg?v=1484123178,"
Detail Bahan Dan Ukuran 

Lingkar Dada :105
Panjang  Baju  : 65
Bahan : Jersey 

"
Blus Arenda Pelangi Size 5,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0463_480x480.jpg?v=1484908027,"
Detail Bahan Dan Ukuran 

Bahan : Kattun 
Lingkar Dada : 65 cm 
Panjang Baju : 38 cm 

"
Blus Arenda Pelangi Size 7,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0463_b17f1f49-5cb0-48d1-8628-ccc9bd47f15f_480x480.jpg?v=1484908236,"
Detail Bahan Dan Ukuran 

Bahan : Kattun 
Lingkar Dada : 72 cm 
Panjang Baju : 43 cm 

"
Blus Arenia Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2371_1024x1024_27c2af98-01d4-46b5-9c6c-cbe664eb9f7e_480x480.jpg?v=1487590860,"
Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 104 cm
Panjang Lengan : 64 cm
Lingkar Lengan : 40 cm
Panjang Blus : 67 cm

"
Blus Armila Ungu,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3921_480x480.jpg?v=1500457339,"
Detail Bahan Dan Ukuran 

lingkar dada : 102cm 
panjang lengan :54 cm
lingkar lengan :40 cm 
panjang depan :60 cm 
panjang belakang : 107 cm 

"
Blus Athalia  Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0039_1_480x480.jpg?v=1539666968,"
Detail Bahan Dan Ukuran :

Bahan : Jersey 
Ukuran Top 
Lingkar Dada :  97 Cm
Panjang Top : 55 Cm 

 ukuran Blus :

Lingkar Dada :110
Panjang Lengan : 31 cm 
Panjang Blus :51 Cm 

"
Blus Audrey,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2544_65fa910d-999d-4750-a573-1ab5dbc5f92e_480x480.jpg?v=1488363454,"
Blus bahan dari jersey yg sangat enak di pakai saat santai. dan cocok di pakai ke acara ngampus. tinggal di padukan dengan sepatu flat.
Detail Bahan Dan Ukuran 

Baha  : jersey
Lingjar dada: 97Cm 
Panjang Baju: 53Cm 

"
Blus Aylin Biru,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3233_biru_laut_gitulah_480x480.jpg?v=1484126830,"
Dtail Bahan Dan Ukuran 

Lingkar Dada : 101 cm
Panjang Baju : 52 cm 
Bahan : Viscose 
Panjang Lengan : 29 cm 

"
