nama_produk,harga_normal,harga_diskon,gambar,deskripsi
Paket Arla Kuning ( 2 Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1341yellow_480x480.jpg?v=1499945651,"
Detail Bahan Dan Ukuran :

Ukuran Dres 
Bahan : spandek 
Lingkar Dada : 104 cm 
Panjang Lengan :59 cm 
Panjang : 137 cm 
Ukuran auter 
Bahan : Brokat
Linkar Dada : 103 cm 
Panjang Lengan: 52 cm 
Panjang : 56 cm 

"
Paket Arla Merah ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1342_df76c882-42b3-41bc-9379-e7a95db04a63_480x480.jpg?v=1499945787,"
Detail Bahan Dan Ukuran :

Ukuran Dres 
Bahan : spandek 
Lingkar Dada : 104 cm 
Panjang Lengan :59 cm 
Panjang : 137 cm 
Ukuran auter 
Bahan : Brokat
Linkar Dada : 103 cm 
Panjang Lengan: 52 cm 
Panjang : 56 cm 

"
Paket Avisa Merah  ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0218_480x480.jpg?v=1499945159,"
Detail Bahan Dan Ukuran :

Ukuran Dres : 
Bahan Jersey
Lingkar Dada : 108 cm 
PInggang : 108 cm 
Panjang Dres : 133 cm 
Ukuran Bllazer 
Bahan : Jersey
Lingkar Dada : 115 cm 
Panjang :48 cm 
Panjang Lengan : 56 cm 

"
Paket Avisa Ungu ( 2 Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0330_0ebe9776-48c6-46b1-96cf-4cca6f945341_480x480.jpg?v=1499945030,"
Detail Bahan Dan Ukuran :

Ukuran Dres : 
Bahan Jersey
Lingkar Dada : 108 cm 
PInggang : 108 cm 
Panjang Dres : 133 cm 
Ukuran Bllazer 
Bahan : Jersey
Lingkar Dada : 115 cm 
Panjang :48 cm 
Panjang Lengan : 56 cm 

"
Paket Daundra Kuning ( 2 Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0493_480x480.jpg?v=1500023255,"
Detail Ukuran Bahan Dan Ukuran :

Ukuran Blazer :
Bahan Viscos
Lingkar Dada : 101 cm 
Panjang Dres : 48 cm 
Panjang Lengan : 56 cm 
Ukuran Dres :
Bahan : Viscos + Katun  Rayon 
Lingkar Dada : 107 cm 
Panjang Dres : 145 cm 
Pinggul Dres : 104 cm

"
Paket Desya Tosca ( 2Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1055blue_480x480.jpg?v=1499851560,"
Detail Bahan Dan Ukuran :

Ukuran Dres :
Bahan Spandek 
Lingkar Dada : 105 cm 
Panjang : 130 cm 
Ukuran Blazer 
Lingkar Dada : 107 cm 
panjang : 38 cm 
Panjang Lengan : 54 cm 



"
Paket Devika Merah ( 2Item),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0152_d989db72-6364-4232-8893-6e07bc2877ac_480x480.jpg?v=1499832263,"
Detali Bahan Dan Ukuran :

Ukuran Vest 
Bahan : Katun Rayon 
Lingkar Dada : 100 cm
Panjang Vest : 49 cm
Ukuran Dres 
Bahan : Jersey
Lingkar Dada : 90 cm
Panjang Lenga : 60 cm
Lingkar Lengan : 44 cm
Lingkar Pinggang : 90 cm
Panjang Dress : 140 cm



"
Paket Erlita Coklat ( 2Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2120_480x480.jpg?v=1499834286,"
Detail Bahan Dan Ukuran :

Ukuran Shawl 
Panjang :143 cm 
Tinggi :  41 cm 
Ukuran Dres :
Lingkar Dada : 103 cm 
Panjang Lengan : 56 cm 
Pinggang : 112 cm 
Panjang Dres : 129 cm 

"
Paket Erlita Ungu ( 2Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0374_480x480.jpg?v=1499834170,"
Detail Bahan Dan Ukuran :

Ukuran Shawl 
Panjang :143 cm 
Tinggi :  41 cm 
Ukuran Dres :
Lingkar Dada : 103 cm 
Panjang Lengan : 56 cm 
Pinggang : 112 cm 
Panjang Dres : 129 cm 

"
Paket Firlly  Hitam  ( 2Item),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0158_480x480.jpg?v=1499762146,"
Detail Bahan  Dan Ukuran : 

Ukuran Shawl 
Bahan: 
Panjang :  43 cm 
Lebar : 71 cm 
Ukuran Dres : 
Bahan : Spandek 
Lingkar Dada :102 cm 
Panjang Lengan : 60 cm 
Panjang Dres : 130 cm 

"
Paket Firlly Pink  ( 2  Item),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0211_480x480.jpg?v=1499761827,"
Detail Bahan  Dan Ukuran : 

Ukuran Shawl 
Bahan: 
Panjang :  43 cm 
Lebar : 71 cm 
Ukuran Dres : 
Bahan : Spandek 
Lingkar Dada :102 cm 
Panjang Lengan : 60 cm 
Panjang Dres : 130 cm 

"
Paket Jilly Biru ( 2item),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0186_480x480.jpg?v=1499765148,"
Detail Bahan Dan Ukuran : 

Bahan : Spandek 
Lingkar Dada: 100 cm 
Panjang Lengan : 55 Cm 
Panjang Dres: 139 Cm 
Panjang Shawl : 142 cm   
Lebar Shawl : 38 cm 

"
Paket Jilly Coklat ( 2 Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0094_6adc7f86-1aee-40d1-a150-61ad63ac3d3e_480x480.jpg?v=1499765629,"
Detail Bahan Dan Ukuran : 

Bahan : Spandek 
Lingkar Dada:
Panjang Lengan :
Panjang Dres:
Panjang Shawl : 142 cm   
Lebar Shawl : 38 cm 

"
Paket Jilly Kuning ( 2 item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0117_480x480.jpg?v=1499770989,"
Detail Bahan Dan Ukuran : 

Bahan : Spandek 
Lingkar Dada:
Panjang Lengan :
Panjang Dres:
Panjang Shawl : 142 cm   
Lebar Shawl : 38 cm 

"
Paket Jilly Marun ( 2item),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0074_480x480.jpg?v=1499765479,"
Detail Bahan Dan Ukuran : 

Bahan : Spandek 
Lingkar Dada:
Panjang Lengan :
Panjang Dres:
Panjang Shawl : 142 cm   
Lebar Shawl : 38 cm 

"
Paket Karla Ungu ( 2 Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1104_480x480.jpg?v=1500008762,"
Detail Bahan Dan Ukuran :

ukuran Blazer 
Bahan : hycon
Panjang Lengan :39 cm 
Lingkar Dada :92cm 
Panjang : 47 cm 
Ukuran Dres 
Bahan : viscos
Lingkar Dada : 102 cm 
pinggang : 107 cm
Panjang Dres : 144 cm

"
Paket Kenisha Navy ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0074_5436c998-672a-4193-8afe-93ffeeba5487_480x480.jpg?v=1499843722,"
Detail Bahan Dan Ukuran 

Ukuran Blus 
Lingkar Dada : 104 cm 
panjang Lengan : 57 cm 
Panjang : 76 cm 
Ukuran Rok 
Pinggang :102 cm 
Panjang Rok : 92 cm  

"
Paket Kenisha Ungu ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0029_480x480.jpg?v=1499919343,"
Detail Bahan Dan Ukuran 

Ukuran Blus 
Lingkar Dada : 104 cm 
panjang Lengan : 57 cm 
Panjang : 76 cm 
Ukuran Rok 
Pinggang :102 cm 
Panjang Rok : 92 cm  

"
Paket Nerisa coklat ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2193_480x480.jpg?v=1499852236,"
Detail Bahan Dan Ukuran :

Bahan Blazer : Jersey 
Lingkar Dada : 102 cm 
Panjang Lengan : 45 cm 
Panjang Blazer : 51 cm 
Ukuran Dres :
Bahan : kaos .sifon + iner 
Lingkar Dada: 99 cm 
Pinggang : 115 cm 
Panjang Dres : 136 cm 

"
Paket Nerisa Coklat Bata  ( 2 Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1926_d25b1c00-4e66-453d-8fa9-8d23f407e1d0_480x480.jpg?v=1499852375,"
Detail Bahan Dan Ukuran :

Bahan Blazer : Jersey 
Lingkar Dada : 102 cm 
Panjang Lengan : 45 cm 
Panjang Blazer : 51 cm 
Ukuran Dres :
Bahan : kaos .sifon + iner 
Lingkar Dada: 99 cm 
Pinggang : 115 cm 
Panjang Dres : 136 cm 

"
Paket Nerisa Hijau ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1855_9c734732-2b37-4f6b-84b3-097b955966bd_480x480.jpg?v=1499851935,"
Detail Bahan Dan Ukuran :

Bahan Blazer : Jersey 
Lingkar Dada : 102 cm 
Panjang Lengan : 45 cm 
Panjang Blazer : 51 cm 
Ukuran Dres :
Bahan : kaos .sifon + iner 
Lingkar Dada: 99 cm 
Pinggang : 115 cm 
Panjang Dres : 136 cm 

"
Paket Nerisa Marun ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0179_480x480.jpg?v=1499774220,"
Detail Bahan Dan Ukuran :

Bahan Blazer : Jersey 
Lingkar Dada : 102 cm 
Panjang Lengan : 45 cm 
Panjang Blazer : 51 cm 
Ukuran Dres :
Bahan : kaos .sifon + iner 
Lingkar Dada: 99 cm 
Pinggang : 115 cm 
Panjang Dres : 136 cm 

"
Paket Nerisa Navy ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2120_navy_480x480.jpg?v=1499852117,"
Detail Bahan Dan Ukuran :

Bahan Blazer : Jersey 
Lingkar Dada : 102 cm 
Panjang Lengan : 45 cm 
Panjang Blazer : 51 cm 
Ukuran Dres :
Bahan : kaos .sifon + iner 
Lingkar Dada: 99 cm 
Pinggang : 115 cm 
Panjang Dres : 136 cm 

"
Paket Rowina Kuning-Tosca ( 2Item ),,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0207_480x480.jpg?v=1499836282,"
Detail Bahan Dan Ukuran 

Ukuran Blus 
Lingkar Dada : 104 cm 
panjang Lengan : 57 cm 
Panjang : 76 cm 
Ukuran Celana : 
Panjang 98 cm 
Pinggang : 102 cm 

"
Paket Rowina Orange-ungu ( 2Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0241_480x480.JPG?v=1499836510,"
Detail Bahan Dan Ukuran 

Ukuran Blus 
Lingkar Dada : 104 cm 
panjang Lengan :57 cm 
Panjang : 76 cm 
Ukuran Celana : 
Panjang 98 cm 
Pinggang : 102 cm 

"
Paket Syakila Tosca ( 2 Item )      .,149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0203_c901167c-f0e4-4f97-b49f-9ac5c69d29b0_480x480.jpg?v=1499850708,"
Detail Bahan Dan Ukuran :

Ukuran Blazer :
Bahan : Wafel 
Lingkar Dada :106 cm 
Panjang Lengan : 54 cm 
panjang blazer 55cm 
Berat : 240 g 
Ukuran Dres :
Bahan : Spandek 
Lingkar Dada :120 cm 
Panjang Dres : 142 cm

"
